frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
110,1,1027.5904570134842 562.5603630124752 1282.282422065731 786.2064013984167,1110.8299560546875 699.99169921875 1212.8427734375 743.1077270507812,0.4587131142616272,AP05JED,0.20487811735572234
111,1,1027.5240921091365 564.250523359598 1283.7065555432378 788.3866847140764,1111.2890625 703.2646942138672 1212.9866638183594 746.4541168212891,0,0,0
112,1,1027.4577272047886 565.9406837067208 1285.1306890207447 790.5669680297361,1111.7481689453125 706.5376892089844 1213.1305541992188 749.8005065917969,0,0,0
113,1,1027.391362300441 567.6308440538437 1286.5548224982515 792.7472513453959,1112.207275390625 709.8106842041016 1213.2744445800781 753.1468963623047,0,0,0
114,1,1027.3249973960933 569.3210044009664 1287.9789559757583 794.9275346610556,1112.6663818359375 713.0836791992188 1213.4183349609375 756.4932861328125,0.35197821259498596,AF05JEO,0.20393971678254436
115,1,1026.813432471039 570.0781650570402 1288.7945504367467 796.348667571684,1112.3565673828125 713.1069946289062 1214.312255859375 756.1792602539062,0.4122384190559387,AF05JEO,0.1947122101564488
116,1,1027.6142138938867 571.2366436571222 1290.4115614705952 798.7413263293872,1114.995361328125 713.5034790039062 1216.988525390625 755.4176025390625,0.46969079971313477,AF05JEO,0.20390877579596858
117,1,1027.174538777028 573.2654652722471 1290.943451953899 801.4941116247562,1113.8836669921875 715.2516967773438 1217.0083984375 757.8648071289062,0,0,0
118,1,1026.7348636601691 575.294286887372 1291.475342437203 804.2468969201253,1112.77197265625 716.9999145507812 1217.028271484375 760.31201171875,0,0,0
119,1,1026.2951885433106 577.323108502497 1292.0072329205066 806.9996822154943,1111.6602783203125 718.7481323242188 1217.04814453125 762.7592163085938,0,0,0
120,1,1025.8555134264518 579.3519301176219 1292.5391234038104 809.7524675108634,1110.548583984375 720.4963500976562 1217.068017578125 765.2064208984375,0,0,0
121,1,1025.415838309593 581.3807517327468 1293.0710138871143 812.5052528062324,1109.4368896484375 722.2445678710938 1217.087890625 767.6536254882812,0.4521425664424896,AF05JEQ,0.1821266554646793
122,1,1025.0342192557719 583.616868676152 1294.2036739592331 815.8424219934487,1107.6343994140625 724.6417236328125 1214.521484375 768.2442626953125,0.49610137939453125,AP05JEO,0.23744609699645486
